Download Data - STOCK_US_XNYS_CSV,,,,,
Date,Open,High,Low,Close,Volume
06/06/2024,28.38,29.08,28.38,28.81,"101,226"
06/05/2024,28.02,28.8,27.79,28.63,"274,554"
06/04/2024,27.24,28.43,27,27.94,"338,440"
06/03/2024,27.22,27.22,26.27,26.44,"144,470"
05/31/2024,26.68,27.31,26.55,26.89,"567,143"
05/30/2024,26.26,26.75,26.22,26.62,"79,463"
05/29/2024,26.32,26.7,26.21,26.21,"138,198"
05/28/2024,26.89,27.19,26.59,26.63,"68,262"
05/24/2024,26.53,26.81,26.37,26.72,"95,702"
05/23/2024,26.4,26.64,26.26,26.48,"88,066"
05/22/2024,26.23,26.59,26.14,26.4,"75,319"
05/21/2024,26.53,26.62,26.23,26.56,"64,268"
05/20/2024,27.06,27.19,26.55,26.56,"54,537"
05/17/2024,26.8,27.5,26.64,27.07,"138,357"
05/16/2024,26.56,26.7,26.25,26.69,"97,756"
05/15/2024,26.8,26.8,26.19,26.44,"154,630"
05/14/2024,26.91,27.24,26.29,26.54,"100,811"
05/13/2024,26.2,26.72,26.13,26.54,"167,160"
05/10/2024,26.3,26.3,25.78,26.02,"166,481"
05/09/2024,25.73,26.41,25.53,26.31,"100,255"
05/08/2024,25.44,25.89,25.44,25.55,"417,913"
05/07/2024,25.8,26.12,25.48,25.56,"99,623"
